"","Codigo","Provincia","Municipio","Comarca","Tasainicial","LONGITUD_ETRS89","LATITUD_ETRS89","Indemnizacion","Valor_Prod","VIVO","Ind_VP2"
"88",41020,41,20,5,0.130840702,-5.94075872,36.98079112,1470160.62,9055281.78,12,0.162353933949033
"89",29089,29,89,1,0.085529839,-4.92158172,36.98132441,802662.39,7465323.4,12,0.107518770050873
"90",18071,18,71,7,0.031810654,-3.56634078,36.988117,144.7,342301.09,12,0.000422727254534889
"91",41064,41,64,6,0.089449445,-5.57079248,36.99536489,624197.07,5797562.47,12,0.107665432365751
"92",29096,29,96,1,0.085529839,-4.36394556,36.99699553,2525.71,51307.38,10,0.049227031276982
"93",18180,18,180,9,0,-3.2651633,37.00057381,0,111.91,1,0
"94",29010,29,10,1,0.085529839,-5.02113921,37.00211364,66467.15,1305004.18,12,0.0509325188521618
"95",18013,18,13,7,0.031810654,-3.98605626,37.0037636,26054.55,236742.11,12,0.110054565282028
"96",29015,29,15,1,0.085529839,-4.55804451,37.0142215,989735.39,9297425.66,12,0.106452627446983
"97",41008,41,8,6,0.089449445,-5.1500159,37.01441356,0,61370.97,4,0
"98",29097,29,97,1,0.085529839,-4.33741698,37.02928696,3300.4,103551.48,12,0.0318720698149365
"99",18001,18,1,7,0.031810654,-3.83009744,37.03037591,178.94,137854.65,4,0.00129803383491235
"100",4060,4,60,5,0.104129239,-2.2011865,37.0402677,0,725,1,0
"101",29032,29,32,1,0.085529839,-4.86223442,37.04734424,789655.85,9958292,12,0.0792963140667094
"102",41100,41,100,6,0.089449445,-5.17565452,37.05037491,0,26644.09,4,0
"103",41090,41,90,6,0.089449445,-5.09744762,37.07107032,21139.3,615008.44,12,0.0343723738165284
"104",18068,18,68,2,0.149622578,-3.60152074,37.07448944,5256.81,14461.55,8,0.363502529120322
"105",41036,41,36,5,0.130840702,-5.63458688,37.08163152,1778843.63,12228255.01,12,0.145469948782169
"106",18149,18,149,5,0.078121732,-3.63448477,37.09360821,513683.25,2802515.47,12,0.183293635842089
"107",29017,29,17,1,0.085529839,-4.39031416,37.09717349,59976.7,261039.98,10,0.229760590695724
"108",41037,41,37,6,0.089449445,-4.9827313,37.09724247,40563.22,215888.96,10,0.187889274189843
"109",18084,18,84,2,0.149622578,-3.60605951,37.10477183,20329.93,88257.23,10,0.230348607133942
"110",41062,41,62,6,0.089449445,-4.96082158,37.10715123,23795.71,465828.88,11,0.0510825133898954
"111",18014,18,14,1,0.06402467,-3.64587295,37.10823076,85718.12,628002.92,12,0.136493187006201
"112",29059,29,59,1,0.085529839,-4.70087934,37.11336322,58530.1,308452.03,11,0.189754303124541
"113",41065,41,65,6,0.089449445,-5.44898927,37.12022462,1334028.78,16777770.96,12,0.0795116814492502
"114",29088,29,88,1,0.085529839,-4.86861331,37.1240068,115113.32,845834.7,12,0.136094345620959
"115",29072,29,72,1,0.085529839,-4.65776429,37.1257807,104538.63,813955.76,12,0.128432815562359
"116",18061,18,61,7,0.031810654,-3.8211484,37.13262106,42225.88,716299.13,12,0.0589500646189533
"117",41902,41,902,4,0.071551893,-6.16284896,37.13384448,121019.17,460713.42,2,0.262677761806895
"118",29055,29,55,1,0.085529839,-4.73195066,37.1355092,56258.66,653260.36,12,0.0861198129333915
"119",18021,18,21,1,0.06402467,-3.62690297,37.14031436,0,904.89,1,0
"120",18062,18,62,2,0.149622578,-3.64581291,37.14885746,13860.27,142400.86,10,0.0973327689172664
"121",41063,41,63,5,0.130840702,-5.71962007,37.15558787,726541.67,4076365.27,12,0.178232720052587
"122",41069,41,69,2,0.109414708,-5.9277983,37.15743949,29726.78,187756.45,7,0.158326278537968
"123",18047,18,47,1,0.06402467,-3.53735586,37.15945749,1045.8,15109.32,7,0.0692155570204351
"124",18094,18,94,2,0.149622578,-3.43875396,37.15955616,24967.03,156701.3,10,0.159328799441996
"125",18010,18,10,2,0.149622578,-3.07267592,37.16037152,4682.01,12091.21,7,0.387224272839526
"126",18074,18,74,2,0.149622578,-3.03620132,37.17247581,96975.95,314484.44,12,0.308364859005425
"127",18087,18,87,2,0.149622578,-3.60001883,37.17641932,233407.47,865627.94,12,0.269639482755143
"128",41095,41,95,5,0.130840702,-5.78089198,37.17935222,8795926.95,53935816.68,12,0.163081371367491
"129",18018,18,18,2,0.149622578,-3.11612282,37.17960943,0,15400.61,2,0
"130",18114,18,114,9,0,-3.06368298,37.18155072,1521.24,2991.15,1,0.508580311920165
"131",29098,29,98,1,0.085529839,-4.33427797,37.18382365,7063.7,321678.59,12,0.0219588751616948
"132",29095,29,95,1,0.085529839,-4.45078097,37.18660129,2008.29,41528.2,5,0.0483596688515274
"133",18175,18,175,5,0.078121732,-3.71896428,37.18938734,13745.85,217351.39,10,0.0632425217064404
"134",18100,18,100,6,0.03746713,-4.04716859,37.19468512,1161.9,182437.86,10,0.00636874385612723
