X;LONGITUD;LATITUD;Ind_VP2;Valor_Prod
216;-6.55312863;37.3876449;0.033859079;0.424279975
217;-4.77225259;37.3883058;0.018243019;0.270669077
218;-5.71853155;37.38897534;0.056687379;1.255362749
219;-6.60851594;37.38899587;0.021477164;0.979056406
220;-2.38745675;37.39094721;0.024519173;0.004927834
221;-6.14127425;37.3956232;0.122598872;0.001002783
222;-6.47673384;37.39718433;0.008461677;0.268744232
223;-2.36518023;37.39750865;0.007806412;6.78E-05
224;-2.42494356;37.40081642;0.034746051;0.014292911
225;-6.03455435;37.40147092;0.015251973;0.209009035
226;-6.0548422;37.40860133;0.003909391;0.001683487
227;-4.48451348;37.40901404;0.015760208;0.441167892
228;-6.38975689;37.41035142;0.023212626;3.934901433
229;-3.17521628;37.41328681;0.015177807;0.099002286
230;-6.07689896;37.41595233;0.020088122;1.934972033
231;-6.15621373;37.4183665;0.024528105;1.074197217
232;-6.11166812;37.41866404;0.025637976;4.510297623
233;-3.26048883;37.41944952;0.042301585;2.492118195
234;-6.40156272;37.42110994;0.021065183;2.451722228
235;-6.79288327;37.42630834;0.015440069;0.129295793
236;-6.16648075;37.42711042;0.051791999;0.02625971
237;-3.68369321;37.42820145;0.007072657;0.001309466
238;-6.03627975;37.43302379;0.019934404;0.105752232
239;-4.60916325;37.43498961;0.02540258;0.00850588
240;-2.72312271;37.43694658;0.032404322;0.785598104
241;-4.09001992;37.43947257;0.001989445;0.00031629
242;-4.191759;37.43981618;0.005062363;0.011874319
243;-3.43947932;37.44235787;0.017872338;1.258912812
244;-3.92944941;37.45979131;0.014573507;1.290405532
245;-6.01324202;37.46108715;0.025746805;0.006158807
246;-5.34761743;37.46271648;0.026472591;18.29139145
247;-4.44656669;37.47101586;0.00185998;0.005831553
248;-7.4667592;37.47240145;0.006364682;5.32E-05
249;-5.63324752;37.47265463;0.036371621;87.59538038
250;-4.58088184;37.47356745;0.010357576;0.000819925
251;-3.55222697;37.47372263;0.003079643;0.065614998
252;-3.319995342;37.47743928;0.038920001;0.086225391
253;-3.04440458;37.47925162;0.016720478;1.909158236
254;-3.6156536;37.48233309;0.007191119;0.07486183
255;-2.29602131;37.48360163;0.028449585;0.054739321
256;-3.83774832;37.48515683;0.005163282;0.00013181
257;-5.97908069;37.48806452;0.025899428;0.925673714
258;-2.77485648;37.49077779;0.036256309;0.355412364
259;-7.27235309;37.50070487;0.002350459;0.000562749
260;-3.35644595;37.50474975;0.02279851;0.495514932
261;-5.97857253;37.5171086;0.016979684;0.271144646
262;-4.66061547;37.52004219;0.020460347;0.206092969
263;-6.26869637;37.52281812;0.019471764;3.33668795
264;-6.1582894;37.52460734;0.018110292;3.497395205
265;-5.24916945;37.52645229;0.021314194;1.73381489
266;-3.65363388;37.52893667;0.008477631;0.000423048
267;-6.05232296;37.53939693;0.017358826;3.155066095
268;-2.8427711;37.5401022;0.014335908;0.003184944
269;-5.07543598;37.54077247;0.029754254;57.88683416
270;-7.11496253;37.54947646;0.034712986;0.007326087
271;-3.63530988;37.55559065;0.10762768;0.000216348
272;-1.81042381;37.55977174;0.053676003;0.000649772
273;-5.42510324;37.56551326;0.026191401;7.149159694
