ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
106;FORTUNA                  ;CALLE SODALES. S/N;-1.124111;38.150722;E.S. POLIGONO;OTRO;1;1.160286;0.014165;0.012209;1.164;1.154;1.154;1.179;1.170;1.087;1.170;1.170;1.170;1.170;1.170;1.170;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.154;1.154;1.154;1.154;1.154;1.154;1.154;1.154;1.154
107;MOLINA DE SEGURA         ;CALLE SOL (LA ESTRELLA). 4;-1.220417;38.085694;APELLAN;OTRO;1;1.080026;0.025872;0.023955;1.083;1.083;1.083;1.088;1.088;1.199;1.101;1.101;1.101;1.101;1.101;1.101;1.101;1.101;1.101;1.101;1.101;1.068;1.068;1.068;1.068;1.068;1.068;1.068;1.055;1.055;1.065;1.065;1.065;1.065;1.065;1.065;1.065;1.065;1.056;1.056;1.056;1.056;1.056
108;CALASPARRA               ;CALLE TENIENTE FLOMESTA. 86;-1.700306;38.234972;SHELL;SHELL;1;1.193462;0.009668;0.008101;1.199;1.199;1.199;1.199;1.199;1.190;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.176;1.176;1.176;1.176;1.176;1.176;1.176;1.176;1.176
109;ERA ALTA                 ;CAMINO CAMINO DEL BADEN. 174;-1.158500;37.967750;REPSOL;REPSOL;1;1.195769;0.016761;0.014017;1.205;1.205;1.205;1.205;1.205;1.215;1.205;1.205;1.205;1.205;1.205;1.215;1.215;1.215;1.215;1.215;1.215;1.215;1.215;1.195;1.195;1.195;1.195;1.195;1.195;1.175;1.175;1.175;1.175;1.175;1.175;1.175;1.205;1.205;1.169;1.169;1.169;1.169;1.169
110;LORCA                    ;CAMINO CAMINO HONDO RONDA SUR. 1;-1.698778;37.658722;SHELL-LORCA(SUTULLENA);SHELL;1;1.192590;0.018603;0.015599;1.209;1.209;1.209;1.209;1.209;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
111;LORCA;CAMINO CARTAGENA-ESQ. VEREDA CHURRA. S/N;-1.674778;37.674972;ALIMER;OTRO;1;1.126436;0.020966;0.018613;1.139;1.139;1.139;1.119;1.119;1.209;1.119;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099
113;LA CAMPANA;CARRERA MU-620 / KM. 17.5. S/N;-1.734194;37.456167;REPSOL;REPSOL;1;1.198615;0.014340;0.011963;1.209;1.209;1.209;1.209;1.209;1.244;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
114;DOLORES (LOS)            ;CARRETERA 03 KM. ;-1.003056;37.638861;REPSOL;REPSOL;1;1.200026;0.020853;0.017377;1.209;1.209;1.209;1.219;1.229;1.159;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
115;MOLINA DE SEGURA         ;CARRETERA A-5 KM. 5.000;-1.199778;38.073750;REPSOL;REPSOL;1;1.204897;0.019443;0.016137;1.219;1.219;1.219;1.219;1.219;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
116;LORCA                    ;CARRETERA A-91 KM. 3.5;-1.946000;37.619917;VENTA LA PETRA;OTRO;1;1.211564;0.016751;0.013826;1.219;1.219;1.219;1.219;1.219;1.229;1.239;1.239;1.239;1.239;1.239;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189
117;AGUILAS                  ;CARRETERA AGUILAS A CUESTA DE GOS KM.11.400 KM. 11.400;-1.500833;37.470500;C.P.G. LA MARINA;OTRO;1;1.184615;0.021040;0.017761;1.206;1.206;1.206;1.206;1.209;1.209;1.209;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.164;1.164;1.164;1.164;1.164;1.164;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158;1.158
118;ESPARRAGAL               ;CARRETERA ALICANTE KM. 10;-1.085667;38.042889;REPSOL;REPSOL;1;1.199769;0.019399;0.016169;1.209;1.209;1.209;1.219;1.219;1.209;1.239;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
119;MONTEAGUDO               ;CARRETERA ALICANTE KM. 6;-1.098639;38.016778;JUAN LECHUGA S.A.;OTRO;1;1.132077;0.020774;0.018350;1.119;1.119;1.119;1.119;1.119;1.229;1.129;1.129;1.129;1.129;1.149;1.149;1.149;1.159;1.159;1.159;1.149;1.149;1.149;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.109
120;MONTEAGUDO               ;CARRETERA ALICANTE KM. 6.8;-1.098278;38.016639;JUAN LECHUGA S.A.;OTRO;1;1.139000;0.021721;0.019070;1.149;1.149;1.149;1.149;1.149;1.229;1.159;1.159;1.159;1.159;1.149;1.149;1.149;1.159;1.159;1.159;1.149;1.149;1.149;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.109
121;BAÑOS Y MENDIGO          ;CARRETERA AUTOVIA DEL MAR MENOR- CR C-3319 KM 4.1 KM. 4.1;-1.078528;37.858056;LA HITA-EL VALLE;OTRO;1;1.111359;0.024211;0.021785;1.128;1.128;1.128;1.128;1.128;1.209;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.128;1.098;1.098;1.098;1.098;1.098;1.098;1.098;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088;1.088
122;COPA (LA)                ;CARRETERA B-18 KM. 3.475;-1.661806;38.077333;CEPSA;CEPSA;1;1.197462;0.021820;0.018222;1.209;1.209;1.209;1.215;1.219;1.209;1.225;1.225;1.225;1.225;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.174;1.174;1.174;1.174;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
123;LORCA                    ;CARRETERA C-15 KM. 1;-1.700722;37.682972;CAMPSA;CAMPSA;1;1.176436;0.018076;0.015365;1.189;1.189;1.189;1.189;1.189;1.239;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149;1.149;1.149
124;ALEDO                    ;CARRETERA C-21 KM. 0.400;-1.575778;37.797667;E.S. ALEDO;OTRO;1;1.229615;0.002371;0.001928;1.230;1.230;1.230;1.230;1.230;1.215;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230;1.230
125;CARAVACA DE LA CRUZ      ;CARRETERA C-3211 INTERSECCION CON C-330 Y C-16 KM. 4.1;-1.896556;38.052056;REPSOL;REPSOL;1;1.199667;0.020368;0.016978;1.199;1.199;1.199;1.209;1.219;1.159;1.235;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
126;CARAVACA DE LA CRUZ      ;CARRETERA C-3211 INTERSECCION CON C-330 Y C-16 KM. 4.1;-1.896444;38.051444;REPSOL;REPSOL;1;1.199410;0.020933;0.017453;1.199;1.199;1.199;1.209;1.219;1.149;1.235;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
127;FORTUNA                  ;CARRETERA C-3223 KM. 16;-1.123667;38.176306;CEPSA;CEPSA;1;1.186128;0.020316;0.017128;1.195;1.199;1.199;1.225;1.215;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.204;1.204;1.184;1.179;1.179;1.169;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.165;1.165;1.164;1.164;1.164;1.155;1.155
128;ABANILLA;CARRETERA C-3223 KM. 27.27;-1.075694;38.270222;REPSOL;REPSOL;1;1.207744;0.019000;0.015732;1.219;1.219;1.219;1.229;1.229;1.130;1.239;1.239;1.239;1.239;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.189;1.189
129;FORTUNA                  ;CARRETERA C-3223 KM. 9.7;-1.107611;38.122417;CEPSA;CEPSA;1;1.186051;0.020783;0.017523;1.195;1.199;1.199;1.225;1.215;1.229;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.204;1.199;1.184;1.175;1.175;1.169;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.165;1.165;1.164;1.164;1.164;1.155;1.155
130;CARAVACA DE LA CRUZ      ;CARRETERA C-330 KM. 65.3;-1.866139;38.099722;CEPSA;CEPSA;1;1.191256;0.022690;0.019048;1.209;1.209;1.209;1.229;1.229;1.205;1.219;1.219;1.219;1.215;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.189;1.179;1.179;1.174;1.174;1.169;1.169;1.179;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159
131;CEHEGIN                  ;CARRETERA C-3314 KM. 10.7;-1.750806;38.175139;REPSOL;REPSOL;1;1.216744;0.020254;0.016646;1.238;1.238;1.238;1.238;1.238;1.219;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.238;1.204;1.204;1.204;1.204;1.204;1.204;1.204;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194;1.194
132;BULLAS                   ;CARRETERA C-415 KM. 43;-1.653139;38.053444;REPSOL;REPSOL;1;1.190538;0.022342;0.018766;1.195;1.195;1.195;1.209;1.209;1.205;1.225;1.229;1.229;1.229;1.219;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169
133;CEHEGIN                  ;CARRETERA C-415 KM. 58.2;-1.801889;38.093500;CEPSA;CEPSA;1;1.191769;0.023215;0.019480;1.209;1.209;1.209;1.229;1.229;1.225;1.219;1.219;1.219;1.215;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.189;1.179;1.179;1.174;1.174;1.169;1.169;1.179;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159
134;CARAVACA DE LA CRUZ      ;CARRETERA C-415 KM. 63.5;-1.853333;38.104778;CEPSA;CEPSA;1;1.192128;0.023826;0.019987;1.209;1.209;1.209;1.229;1.229;1.239;1.219;1.219;1.219;1.215;1.219;1.219;1.219;1.209;1.209;1.209;1.209;1.209;1.189;1.179;1.179;1.174;1.174;1.169;1.169;1.179;1.169;1.169;1.169;1.175;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159
135;ESPARRAGAL               ;CARRETERA CABEZO DE TORRES AL ESPARRAGAL KM. 6.2;-1.088167;38.047611;24H;OTRO;1;1.184538;0.016901;0.014268;1.199;1.199;1.199;1.199;1.199;1.235;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
136;MORATALLA                ;CARRETERA CALASPARRA (DE) KM. 14.257;-1.881833;38.190583;E.S. SOMARES S.L.;OTRO;1;1.195154;0.014887;0.012456;1.205;1.205;1.205;1.205;1.205;1.209;1.205;1.205;1.205;1.205;1.205;1.215;1.215;1.215;1.215;1.215;1.215;1.215;1.205;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.175;1.175;1.175;1.175;1.175;1.175;1.175;1.169;1.169
137;CALASPARRA               ;CARRETERA CALASPARRA-VALENTIN KM. 1.5;-1.704583;38.207111;PETROCAST ;OTRO;1;1.169870;0.004079;0.003486;1.169;1.169;1.169;1.169;1.169;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
138;BENIAJAN;CARRETERA CAMINO DE TIÑOSA.45 KM. 1.4;-1.094500;37.965528;PETRONOR;OTRO;1;1.197103;0.024145;0.020169;1.209;1.209;1.209;1.219;1.225;1.189;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.229;1.229;1.229;1.219;1.209;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.179;1.179;1.179;1.179;1.179;1.179;1.169
139;ALQUERIAS                ;CARRETERA CAMINO DEL REGUERON KM. 4;-1.024000;38.007806;EL MERLA;OTRO;1;1.152143;0.014885;0.012919;1.149;1.149;1.149;1.149;1.149;1.219;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.149;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139
140;LORCA                    ;CARRETERA CARAVACA KM. 2;-1.699194;37.682444;BP;BP;1;1.195538;0.018368;0.015364;1.199;1.199;1.199;1.149;1.219;1.199;1.219;1.219;1.219;1.219;1.219;1.214;1.214;1.214;1.214;1.214;1.214;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.174;1.174;1.174;1.174;1.174;1.174;1.174
141;NIÑO (EL)                ;CARRETERA CARAVACA KM. 32.320;-1.540639;38.054472;MGR EL NIÑO;OTRO;1;1.163359;0.016298;0.014009;1.179;1.179;1.179;1.209;1.169;1.209;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.139
142;MORATALLA                ;CARRETERA CARAVACA KM. 47;-1.890417;38.183639;E.S.HNOS.BLAZQUEZ SL;OTRO;1;1.193282;0.014082;0.011801;1.205;1.205;1.205;1.169;1.205;1.196;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.205;1.215;1.215;1.215;1.215;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.175;1.175;1.175;1.175;1.175;1.175;1.175;1.175;1.169
143;PARETON                  ;CARRETERA CARRETERA COMARCAL MU-3315 KM. 9;-1.415639;37.717639;CAMPSA;CAMPSA;1;1.204436;0.018838;0.015640;1.219;1.219;1.219;1.205;1.229;1.215;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179
144;AGUILAS                  ;CARRETERA CARRETERA DE LORCA KM. 0.4;-1.593667;37.411111;WASH PARK;OTRO;1;1.185769;0.018588;0.015676;1.206;1.206;1.206;1.219;1.206;1.198;1.206;1.206;1.206;1.206;1.206;1.206;1.206;1.206;1.206;1.196;1.196;1.196;1.184;1.178;1.178;1.178;1.178;1.178;1.178;1.178;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164;1.164
145;DOLORES                  ;CARRETERA CARRETERA DE SAN JAVIER CARTAGENA KM. 5.600;-0.871889;37.763611;KARINAE ES;OTRO;1;1.137750;0.024427;0.021470;1.145;1.145;1.145;1.206;1.145;1.239;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.145;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119;1.119
146;SAN ANTONIO ABAD         ;CARRETERA CARRETERA LA PALMA KM. 11;-0.984917;37.649472;CAMPSA;CAMPSA;1;1.199923;0.021946;0.018289;1.209;1.209;1.209;1.145;1.229;1.229;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.189;1.199;1.199;1.179;1.179;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179
147;PATOJOS (LOS)            ;CARRETERA CARRETERA N-332 KM. 2.9;-1.012861;37.619750;REPSOL;REPSOL;1;1.198231;0.019921;0.016625;1.199;1.199;1.199;1.219;1.219;1.229;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.169
148;AGUILAS                  ;CARRETERA CARRETERA NACIONAL 332 KM. 3.37;-1.615556;37.388889;ANIBAL;OTRO;1;1.182974;0.022105;0.018686;1.203;1.203;1.203;1.209;1.203;1.239;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.203;1.196;1.196;1.196;1.183;1.183;1.168;1.168;1.163;1.163;1.163;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
149;ALHAMA DE MURCIA         ;CARRETERA CARTAGENA KM. 1.6;-1.412750;37.834556;JUAN MARTINEZ SAURA;OTRO;1;1.128846;0.025658;0.022729;1.139;1.139;1.139;1.203;1.139;1.239;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.129;1.119;1.119;1.119;1.119;1.119;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109;1.109
150;ALJORRA (LA)             ;CARRETERA CARTAGENA-ALHAMA KM. 11.3;-1.083722;37.710306;REPSOL;REPSOL;1;1.190538;0.026169;0.021981;1.189;1.189;1.189;1.139;1.209;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.169
151;ALCAZARES (LOS)          ;CARRETERA CARTAGENA-ALICANTE KM. 23;-0.861750;37.729333;REPSOL;REPSOL;1;1.202333;0.021878;0.018196;1.199;1.199;1.199;1.189;1.229;1.249;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
153;LORCA                    ;CARRETERA CR C-3211 A KM. 69;-1.657167;37.599778;REPSOL;REPSOL;1;1.203769;0.019709;0.016373;1.209;1.209;1.209;1.205;1.229;1.239;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
154;NONDUERMAS               ;CARRETERA CR N-340 KM. 655.5;-1.177944;37.972389;REPSOL;REPSOL;1;1.170795;0.029602;0.025283;1.199;1.199;1.199;1.219;1.199;1.219;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.179;1.179;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.159
155;CEHEGIN                  ;CARRETERA CRTA MURCIA KM. 146;-1.787333;38.086250;CEHEGINGAS;OTRO;1;1.176846;0.013881;0.011795;1.179;1.179;1.179;1.199;1.179;1.215;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.209;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.139
156;ALJORRA (LA)             ;CARRETERA CTR.MU-602 KM. 8.4;-1.066250;37.686361;E.S.REPSOL;OTRO;1;1.129923;0.076939;0.068092;1.189;1.189;1.189;1.179;1.209;1.239;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.087;1.087;1.067;1.067;1.067;1.067;1.067;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.054;1.159
157;MOLINA DE SEGURA         ;CARRETERA CTRA MU-411 KM. 5.637;-1.210833;38.156056;RENESUR FENAZAR;OTRO;1;1.150436;0.015103;0.013128;1.149;1.149;1.149;1.199;1.149;1.225;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.149;1.139;1.139;1.139;1.139;1.139;1.139;1.139
158;ALMUDEMA (LA)            ;CARRETERA CTRA. LORCA KM. 13.592;-1.924528;37.999500;OTROS;OTRO;1;1.191872;0.023816;0.019982;1.210;1.210;1.210;1.149;1.210;1.239;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.210;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165;1.165
160;LORCA                    ;CARRETERA D-11/CAMINO VIEJO DEL PUERTO KM. 1.5;-1.710472;37.653500;SINERGIA DIESEL;OTRO;1;1.149026;0.034314;0.029864;1.169;1.169;1.169;1.210;1.169;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.149;1.149;1.149;1.149;1.059;1.059;1.059;1.059;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.129
161;PALMAR O LUGAR D. JUAN   ;CARRETERA DE CARTAGENA KM. 401.2;-1.175528;37.938639;REPSOL;REPSOL;1;1.202333;0.027950;0.023246;1.219;1.219;1.219;1.169;1.229;1.099;1.239;1.239;1.239;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.229;1.219;1.199;1.199;1.199;1.199;1.199;1.199;1.199;1.179;1.179;1.179;1.179;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179
162;AGUILAS                  ;CARRETERA DE CIRCUNVALACIÓN. S/N KM. ;-1.593833;37.416333;TRUCKSTOP AGUILAS;OTRO;1;1.189872;0.021771;0.018297;1.209;1.209;1.209;1.219;1.224;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.209;1.199;1.178;1.178;1.178;1.178;1.178;1.164;1.164;1.175;1.175;1.175;1.175;1.169;1.169;1.164;1.164;1.164;1.164;1.164;1.164;1.159
163;LORCA                    ;CARRETERA DE LA PULGARA. 130 KM. 10.4;-1.681194;37.671361;PETRONOR;OTRO;1;1.203077;0.019023;0.015812;1.209;1.209;1.209;1.218;1.229;1.199;1.239;1.239;1.239;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.199;1.199;1.199;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
164;CEUTI                    ;CARRETERA DE MULA km 1.0;-1.295417;38.082889;ES PETROCATAGUAS;OTRO;1;1.121368;0.025281;0.022545;1.129;1.129;1.129;1.219;1.129;1.199;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099
165;MORATALLA                ;CARRETERA DE NERPIO KM. 20;-2.097389;38.178167;E.S. CAMPO DE SAN JUAN;OTRO;1;1.177103;0.016928;0.014381;1.199;1.199;1.199;1.129;1.189;1.225;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159
166;MULA                     ;CARRETERA DE PLIEGO. S-Nº KM. 1;-1.499194;38.027806;PETROMULA;OTRO;1;1.176282;0.021384;0.018179;1.185;1.185;1.185;1.189;1.198;1.219;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.198;1.168;1.168;1.168;1.168;1.168;1.168;1.168;1.158;1.158;1.158;1.158;1.148;1.148;1.148;1.148;1.148;1.148;1.148;1.148;1.148
