ID;Municipio;Direccion;Longitud;Latitud;Rotulo;Rotulo2;Casos;Media;DesT;CVP;Dia1;Dia2;Dia3;Dia4;Dia5;Dia6;Dia7;Dia8;Dia9;Dia10;Dia11;Dia12;Dia13;Dia14;Dia15;Dia16;Dia17;Dia18;Dia19;Dia20;Dia21;Dia22;Dia23;Dia24;Dia25;Dia26;Dia27;Dia28;Dia29;Dia30;Dia31;Dia32;Dia33;Dia34;Dia35;Dia36;Dia37;Dia38;Dia39
25;MURCIA                   ;AVENIDA 1º DE MAYO.. 21;-1.157750;37.936583;REPSOL;REPSOL;1;1.190538;0.026364;0.022145;1.189;1.189;1.189;1.209;1.219;1.239;1.229;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.209;1.189;1.179;1.179;1.179;1.179;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.169;1.169;1.169;1.169;1.169;1.169;1.159
26;MURCIA                   ;AVENIDA AVENIDA DE LOS PINOS. 4;-1.138889;37.998083;REPSOL;REPSOL;1;1.187974;0.017802;0.014985;1.199;1.199;1.199;1.209;1.209;1.149;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169;1.169
27;CARTAGENA                ;AVENIDA AVENIDA DEL CANTON, 25;1.002972;37.613222;EROSKI;EROSKI;1;1.129914;0.017772;0.015729;1.130;1.130;1.130;1.130;1.130;1.130;1.150;1.150;1.150;1.150;1.150;1.155;1.155;1.155;1.155;1.155;1.155;1.139;1.140;1.129;1.129;1.129;1.129;1.110;1.109;1.109;1.100;1.100;1.100;1.100;1.110;1.110;1.127;1.127;1.127;1.127;1.127;1.127;1.127
28;BENIEL                   ;AVENIDA CALVO SOTELO. 4;-1.002111;38.045750;REPSOL;REPSOL;1;1.200538;0.020323;0.016928;1.209;1.209;1.209;1.219;1.219;1.239;1.239;1.229;1.229;1.229;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.219;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
29;MURCIA                   ;AVENIDA CICLISTA MARIANO ROJAS. S.N.;-1.144694;38.000306;REPSOL;REPSOL;1;1.201872;0.024542;0.020420;1.204;1.204;1.204;1.214;1.230;1.225;1.244;1.244;1.244;1.239;1.224;1.224;1.224;1.224;1.224;1.224;1.224;1.224;1.204;1.174;1.174;1.174;1.174;1.174;1.174;1.184;1.164;1.164;1.164;1.169;1.184;1.184;1.199;1.199;1.194;1.194;1.194;1.199;1.189
30;SUCINA                   ;AVENIDA CONSTITUCION. 38;-0.943611;37.891306;CEPSA;CEPSA;1;1.179923;0.005690;0.004823;1.179;1.179;1.179;1.179;1.179;1.215;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179;1.179
31;CHURRA                   ;AVENIDA DE ALICANTE. 7;-1.133861;38.023167;GES;OTRO;1;1.189462;0.023058;0.019385;1.208;1.208;1.208;1.223;1.223;1.229;1.223;1.207;1.207;1.207;1.212;1.212;1.208;1.218;1.218;1.218;1.197;1.197;1.183;1.178;1.178;1.164;1.164;1.164;1.164;1.164;1.185;1.185;1.185;1.185;1.163;1.163;1.163;1.163;1.163;1.163;1.163;1.163;1.163
32;ALCANTARILLA             ;AVENIDA DE LAS AMERICAS PARCELA 2/4 - POLIGONO INDU. SN;-1.209778;37.959028;CEPSA;CEPSA;1;1.185359;0.021997;0.018557;1.195;1.199;1.199;1.225;1.215;1.239;1.209;1.209;1.209;1.209;1.209;1.209;1.209;1.199;1.199;1.199;1.199;1.199;1.184;1.175;1.175;1.169;1.169;1.164;1.164;1.175;1.165;1.165;1.165;1.169;1.164;1.164;1.165;1.165;1.164;1.164;1.164;1.155;1.155
33;MURCIA                   ;AVENIDA DE LOS DOLORES. 3;-1.112556;37.976444;POLIGAS;OTRO;1;1.122205;0.020333;0.018119;1.144;1.144;1.144;1.144;1.144;1.139;1.144;1.144;1.144;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.099;1.104;1.104;1.104;1.104;1.104
34;BAÑOS Y MENDIGO          ;AVENIDA DE MURCIA. 15;-1.128250;37.870056;VENTA DE LA VIRGEN;OTRO;1;1.151308;0.019802;0.017199;1.169;1.169;1.169;1.159;1.159;1.239;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.139;1.139;1.139;1.139;1.139;1.139;1.139;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129;1.129
35;BALSICAS                 ;AVENIDA DE MURCIA. 56;-0.956611;37.818861;GARCISANCH;OTRO;1;1.183231;0.016631;0.014056;1.199;1.199;1.199;1.199;1.199;1.210;1.199;1.199;1.199;1.199;1.199;1.199;1.195;1.195;1.195;1.195;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.189;1.179;1.179;1.169;1.169;1.169;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159;1.159
